date,"agre, p","alder, k","altman, s","anfinsen, c","aston, f","barton, d","berg, p","betzig, e","boyer, p","brown, h","calvin, m","cech, t","chalfie, m","chauvin, y","ciechanover, a","corey, e",cornfort.jw,"cram, d","crutzen, p","curl, r","debye, p","deisenhofer, j","diels, o","eigen, m","ernst, r","ertl, g","fenn, j","fischer, e","fischer, h","flory, p","fukui, k","giauque, w","gilbert, w","grubbs, r","harden, a","hassel, o","hauptman, h","haworth, w","heck, r","heeger, a","hell, s",herschba.dr,"hershko, a","herzberg, g.","hevesy, g","hodgkin, d","hoffmann, r","huber, r","joliot, f","karle, j","karplus, m","karrer, p","kendrew, j","klug, a","knowles, w","kobilka, b","kohn, w","kornberg, r","kroto, h","kuhn, r","langmuir, i","lee, y","lefkowitz, r","lehn, j","leloir, l","levitt, m","libby, w","lindahl, t","lipscomb, w","macdiarmid, a","mackinnon, r","marcus, r","mcmillan, e",merrifie.rb,"michel, h","mitchell, p","moerner, w","molina, m","moore, s","mulliken, r","mullis, k","natta, g","negishi, e","norrish, r","northrop, j","noyori, r","olah, g","onsager, l","pedersen, c","perutz, m","polanyi, j","pople, j","porter, g","prelog, v","ramakrishnan, v","richards, t","rose, i","rowland, f","ruzicka, l","sancar, a","sanger, f","sauvage, j","schrock, r","seaborg, g","sharpless, k","shechtman, d",shimomur.o,shirakaw.h,"skou, j","smalley, r","smith, m","soddy, f","stanley, w","staudinger, h","stein, w","steitz, t","stoddart, j","sumner, j","suzuki, a","synge, r","tanaka, k","taube, h","tsien, r","urey, h","walker, j","warshel, a",wilkinso.g,"wittig, g","woodward, r","wuthrich, k","zewail, a","ziegler, k"
1892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,17,0,0,0,0,0,28,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,17,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,35,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,7,33,0,0,0,0,0,0,0,0,0,0,22,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,0,0,0
1928,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,1,7,0,0,1,1,0,30,0,0,0,0,0,13,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,44,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,9,15,0,0,1,0,0,0,0,0,3,0,16,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,0,0,0,3,0,0,0,0,0,6,0,0,0,4,0,0,0,3
1932,0,19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,5,0,0,0,0,0,15,0,0,0,0,0,14,0,0,0,0,2,0,0,22,0,0,0,0,0,0,0,67,21,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,22,0,3,0,12,18,0,0,3,0,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,7,0,19,0,0,0,5,0,0,0,0,0,19,0,0,0,2,0,0,0,7
1936,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,5,0,5,0,0,1,7,0,14,0,0,0,0,0,14,0,0,0,0,1,0,0,28,0,0,0,0,0,0,0,99,17,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,23,0,0,0,15,15,0,0,3,0,0,0,0,0,6,0,0,0,0,33,0,0,0,0,4,0,0,0,0,0,0,0,2,5,42,0,0,0,1,0,0,0,0,0,25,0,0,0,5,0,0,0,5
1940,0,18,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,9,0,7,0,0,0,0,0,5,0,0,0,0,0,6,5,0,0,0,4,0,0,20,0,0,0,0,0,0,0,60,17,0,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,2,21,0,0,0,10,8,0,0,4,0,3,0,0,0,0,0,0,0,0,17,0,0,0,0,25,0,0,0,0,0,0,0,3,12,7,1,0,0,4,0,1,0,3,0,21,0,0,0,12,8,0,0,0
1944,0,4,0,1,0,2,0,0,2,19,1,0,0,0,0,0,3,1,0,0,4,0,2,0,0,0,0,0,0,15,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,1,1,0,22,0,0,0,0,1,0,0,18,3,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,7,0,0,0,1,1,0,0,2,0,2,0,0,0,20,0,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,12,1,2,0,0,2,0,1,0,5,0,5,0,0,0,8,4,0,0,0
1948,0,3,0,5,0,18,0,0,0,9,3,0,0,0,0,0,2,9,0,0,7,0,0,0,0,0,0,0,0,21,0,5,0,0,0,14,0,0,0,0,0,0,0,9,4,0,0,0,0,7,0,27,2,0,0,0,6,0,0,23,1,0,0,0,0,0,9,0,8,0,0,1,12,0,0,1,0,0,0,8,0,0,0,4,9,0,0,3,0,5,0,0,0,43,0,0,0,0,52,0,1,0,0,21,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,1,0,6,0,11,0,0,0,15,6,0,0,0
1952,0,16,0,4,0,27,0,0,2,49,6,0,0,0,0,14,3,24,0,0,8,0,0,1,0,0,0,10,0,38,11,6,0,0,0,11,0,0,0,0,0,0,0,17,4,3,0,0,0,13,1,36,4,0,1,0,8,0,0,48,2,0,0,0,5,0,18,0,31,2,0,5,4,0,0,1,0,0,1,12,0,2,0,17,3,0,0,4,0,10,0,18,2,37,0,0,2,0,26,0,2,0,0,28,0,0,0,0,0,1,0,0,0,8,4,0,0,2,0,1,0,25,0,18,0,0,7,21,18,0,0,5
1956,0,35,0,14,0,29,2,0,11,72,6,0,0,0,0,22,2,24,0,2,4,0,0,7,0,0,0,21,0,21,16,4,1,0,0,12,0,0,0,0,0,6,0,12,6,3,0,0,0,7,2,38,5,5,3,0,13,0,0,70,0,0,0,0,3,0,19,0,23,3,0,12,1,3,0,2,0,0,1,16,0,11,0,20,10,0,8,5,3,7,3,25,1,31,0,0,2,6,12,0,4,0,0,18,0,0,1,0,1,0,1,0,1,5,4,0,0,2,0,3,0,15,0,17,0,0,19,27,11,0,0,3
1960,0,18,0,3,0,25,3,0,8,71,5,0,0,0,0,23,6,34,0,7,8,0,0,12,0,0,0,67,3,18,51,3,5,0,0,9,0,0,6,0,0,8,1,8,0,3,1,0,0,9,19,34,6,7,0,0,13,0,0,67,0,0,0,0,4,0,10,0,41,11,0,5,1,2,0,3,0,0,0,17,0,31,0,17,8,0,11,4,1,4,12,16,14,27,0,0,3,18,0,0,4,0,0,10,0,0,5,0,5,0,5,0,3,2,4,0,0,0,5,0,0,24,0,16,0,0,14,34,9,0,0,1
1964,0,3,0,8,0,42,10,0,9,61,5,0,0,0,0,46,5,35,0,15,10,0,0,16,2,1,4,60,1,25,65,13,6,0,0,14,0,0,12,4,0,15,2,8,1,4,18,6,0,9,35,11,7,4,0,0,9,2,1,65,0,1,0,5,5,0,25,1,50,21,0,22,0,7,0,1,0,0,0,10,0,29,0,19,4,8,49,8,0,9,9,20,19,17,0,0,4,28,0,0,6,0,0,10,1,0,8,0,5,0,6,0,0,2,3,2,0,0,7,0,0,33,0,10,0,0,11,41,9,1,0,2
1968,0,0,0,17,0,38,16,0,9,111,4,0,0,3,0,63,13,46,1,17,5,0,0,10,7,5,2,71,0,40,76,19,4,2,0,4,2,0,11,8,0,13,2,9,0,4,17,8,0,14,30,3,2,12,1,0,5,0,5,26,0,2,0,15,3,2,19,0,45,25,0,15,3,11,0,3,0,0,2,10,1,20,0,9,5,30,83,4,1,9,16,18,8,9,0,0,6,30,0,0,9,0,2,10,8,0,10,0,3,0,8,0,0,0,0,4,10,0,36,3,0,41,0,15,1,2,21,23,10,7,0,0
1972,0,0,10,19,0,123,7,0,7,175,2,1,0,6,0,131,11,84,3,19,0,0,0,4,9,14,5,116,0,30,40,12,2,18,0,1,6,0,4,16,0,21,2,10,0,7,70,13,0,31,30,0,0,15,2,0,19,3,10,0,0,24,11,14,12,1,8,2,77,23,0,25,2,10,0,0,0,0,1,10,1,0,0,1,9,43,216,0,6,15,23,77,3,11,0,0,12,47,1,0,2,4,9,15,10,1,11,2,5,0,5,0,0,0,2,4,3,0,75,3,0,42,0,13,2,8,33,45,4,21,12,0
1976,0,0,7,7,0,159,14,0,21,163,3,7,1,4,0,135,8,60,15,18,0,5,0,5,21,43,9,150,0,34,63,5,9,26,0,0,1,0,16,65,0,28,5,3,0,4,39,6,0,3,27,0,0,24,2,0,14,7,15,0,0,25,40,14,1,10,9,2,66,11,0,24,1,25,1,0,1,15,6,13,3,1,6,1,6,45,258,7,0,19,20,73,2,4,0,0,8,11,0,0,7,0,23,11,34,3,11,4,7,11,11,0,0,0,1,5,54,0,57,6,7,34,0,4,20,19,67,11,3,35,21,0
1980,1,0,12,3,0,121,14,0,10,137,1,9,3,7,4,129,0,42,21,14,0,4,0,15,29,60,6,65,0,31,40,1,23,28,0,0,2,0,27,88,0,12,1,9,0,4,71,14,0,11,44,0,0,9,2,0,6,3,38,0,0,37,46,10,6,11,2,1,64,9,0,24,0,32,4,1,3,9,2,1,1,0,5,0,2,105,228,1,0,13,25,57,3,3,3,0,10,14,0,12,6,0,62,19,33,2,9,14,7,41,22,0,0,0,0,10,35,0,77,6,21,42,11,0,13,20,81,3,6,68,36,2
1984,3,0,10,1,0,136,15,0,11,200,0,22,5,9,9,163,7,45,18,12,0,10,0,8,51,61,12,61,1,29,16,0,15,43,0,0,2,0,10,70,0,21,5,7,0,1,70,18,0,15,61,0,0,13,1,0,9,6,30,0,0,50,61,8,2,6,0,0,32,22,0,30,2,23,3,0,13,6,0,2,3,0,5,0,4,78,162,0,0,14,15,55,0,12,2,0,11,16,0,16,2,1,72,17,31,8,5,54,11,28,15,0,0,0,0,18,68,0,95,1,42,36,17,0,13,13,69,0,6,60,63,4
1988,8,0,24,0,0,158,12,6,19,160,1,43,7,6,6,96,0,35,15,16,0,11,0,6,40,68,5,6,0,4,7,0,13,56,0,0,1,0,9,98,1,32,3,3,0,1,94,34,0,9,84,0,0,13,0,0,19,22,22,0,0,72,51,12,0,10,0,2,40,61,10,37,0,21,7,0,12,2,0,1,3,0,17,0,0,68,111,0,4,20,21,53,0,5,9,0,3,20,0,22,1,0,60,23,45,10,11,44,4,24,15,0,0,0,0,18,99,0,83,0,66,46,22,0,11,28,58,0,0,53,49,1
1992,15,0,20,1,0,130,6,9,7,67,1,47,8,7,10,93,1,28,31,23,0,8,0,8,29,98,7,7,1,1,12,0,22,39,0,0,5,0,4,106,4,33,1,4,0,0,75,89,0,5,80,0,0,10,0,7,9,28,66,0,0,51,45,5,0,15,0,1,32,69,14,32,0,4,21,2,32,9,0,0,2,0,4,0,0,46,115,0,0,13,23,51,0,0,8,0,7,10,0,44,0,2,91,11,50,16,12,31,3,56,12,0,0,0,0,26,75,0,99,1,57,22,17,0,21,26,47,0,2,74,48,0
1996,43,0,17,0,0,81,9,9,1,48,4,48,12,12,20,75,0,17,61,16,0,28,0,12,37,118,4,1,0,1,16,0,25,71,0,0,13,0,0,140,33,27,7,0,0,0,48,130,0,7,66,0,0,14,0,25,8,41,60,0,0,42,72,2,0,19,0,0,26,75,20,18,0,7,38,0,33,24,0,0,1,1,1,0,0,60,80,0,0,11,14,21,0,0,16,0,2,25,0,55,0,0,56,20,49,9,9,38,0,34,21,0,0,0,0,25,124,0,46,0,42,19,30,0,19,30,22,0,0,69,49,0
2000,46,0,17,0,0,27,9,0,6,42,0,36,5,3,26,77,0,3,64,18,0,22,0,10,14,71,6,1,0,0,27,0,7,82,0,0,8,0,0,95,42,16,8,0,0,0,67,147,0,6,85,0,0,11,0,38,8,36,60,0,0,88,84,3,0,17,0,0,14,25,12,21,0,6,33,0,22,25,0,5,0,0,0,0,0,63,74,0,0,8,11,40,0,0,21,0,1,19,0,24,0,0,55,3,25,8,8,60,2,61,1,0,0,0,0,37,125,0,57,0,84,3,38,0,32,43,0,0,0,48,60,0
2004,33,0,19,0,0,0,4,2,4,14,0,34,13,6,32,46,0,1,55,16,0,15,0,3,4,64,4,1,0,1,17,0,13,55,0,0,10,0,0,69,35,13,10,0,0,0,47,135,0,7,84,0,0,12,2,33,3,24,32,0,0,52,76,0,1,26,0,0,7,13,32,18,0,2,23,0,35,31,0,1,0,0,2,0,0,35,79,0,0,2,11,14,0,0,12,0,3,28,0,35,1,0,43,0,38,1,5,8,2,65,2,0,0,0,0,33,111,0,75,0,72,2,35,0,29,31,0,0,0,52,56,0
2008,22,3,9,1,0,0,5,7,1,11,0,17,11,7,28,64,0,0,18,7,0,11,0,2,3,16,1,1,0,1,20,0,2,82,0,0,1,0,0,85,93,5,7,0,0,0,53,44,0,12,51,0,0,7,0,27,1,20,11,0,0,29,47,1,0,25,0,0,9,24,15,17,0,20,38,0,35,38,1,3,0,2,0,0,0,30,71,0,0,1,15,17,0,2,16,0,1,19,0,35,0,0,86,0,27,1,7,0,0,26,1,0,0,0,2,36,146,0,80,0,30,0,31,1,25,48,1,0,0,49,70,0
2012,10,0,9,0,0,117,3,14,0,95,0,25,10,10,35,170,1,6,18,9,0,6,0,0,6,17,0,2,0,0,9,0,0,117,0,0,2,0,2,123,110,6,7,0,0,0,84,30,0,3,32,0,0,3,0,44,0,17,26,0,0,28,26,1,0,32,0,0,6,1,17,16,0,3,37,0,53,17,0,2,0,0,64,0,0,82,197,0,0,0,22,13,0,0,21,0,0,10,0,34,0,0,77,1,43,2,14,0,0,19,1,0,0,0,0,22,223,0,166,0,84,6,40,0,25,59,1,0,0,45,68,0
2016,5,0,6,0,0,0,2,37,0,2,0,30,17,0,27,8,0,0,6,2,0,0,0,0,2,9,0,0,0,0,7,0,2,104,0,0,0,0,0,49,91,11,5,0,0,0,58,12,0,0,13,0,0,0,0,43,1,20,11,0,0,7,19,0,0,14,0,0,0,0,19,10,0,0,27,0,54,16,0,0,0,0,0,0,0,3,55,0,0,0,12,3,0,0,20,0,0,0,0,35,0,0,47,1,28,3,20,1,1,0,2,0,0,0,0,29,121,0,89,0,9,0,41,0,38,45,0,0,1,29,40,0